3.2	30.2	70.0	25.0	85.0	13.0
4.6	38.6	60.0	25.0	75.0	7.0
5.2	42.2	45.0	20.0	50.0	7.5
5.5	24.5	70.0	20.0	80.0	7.0
6.0	27.0	30.0	15.0	75.0	7.0
7.0	32.0	80.0	20.0	100.0	12.0
8.0	37.0	90.0	15.0	120.0	12.0
3.0	18.0	80.0	35.0	110.0	9.0
4.0	23.0	75.0	30.0	100.0	11.0
5.0	28.0	43.0	20.0	65.0	10.0
6.0	33.0	55.0	20.0	80.0	11.0
7.0	38.0	25.0	20.0	40.0	8.0
8.0	43.0	22.0	20.0	25.0	16.0
1.5	24.2	45.0	20.0	40.0	42.0
3.0	33.0	80.0	25.0	100.0	15.0
5.0	43.0	110.0	25.0	130.0	21.0
6.0	48.0	110.0	25.0	120.0	23.0
7.0	53.0	80.0	25.0	110.0	25.0
2.2	35.4	69.0	32.3	75.0	19.1
2.7	37.8	66.3	31.6	79.0	20.0
3.2	40.3	60.8	30.2	70.0	28.2
3.7	42.7	55.2	28.8	62.0	25.0
4.2	45.2	49.7	27.4	56.7	22.3
4.7	47.6	48.8	27.2	60.0	23.7
5.2	50.1	48.5	27.1	65.3	31.3
6.2	55.0	48.0	27.0	52.1	28.4
7.2	59.9	51.8	28.0	53.5	27.8
8.2	64.8	55.8	28.9	55.7	29.9
9.2	69.7	68.8	32.2	65.0	34.9
10.2	74.6	82.4	35.6	77.4	34.1
11.2	79.5	94.9	38.7	82.0	35.1
12.2	84.4	107.3	41.8	87.7	23.3
13.2	89.3	111.8	42.9	83.9	21.1
3.0	24.0	55.0	25.0	65.0	20.0
4.0	31.0	51.0	23.0	60.0	19.0
5.0	38.0	75.0	23.0	70.0	18.0
7.0	52.0	48.0	23.0	65.0	24.0
8.0	59.0	47.0	23.0	70.0	24.0
9.0	66.0	55.0	25.0	70.0	23.0
10.0	73.0	49.0	23.0	60.0	25.0
11.0	80.0	51.0	23.0	60.0	25.0
12.0	87.0	55.0	23.0	57.0	27.0
13.0	94.0	52.0	22.0	65.0	27.0
5.0	16.5	60.0	20.0	100.0	9.0
7.0	26.5	49.0	20.0	80.0	10.0
2.4	15.6	120.0	50.0	150.0	8.0
3.6	20.4	52.0	25.0	75.0	7.0
6.0	30.0	80.0	30.0	120.0	16.0
7.0	34.0	75.0	30.0	100.0	17.0
8.0	38.0	75.0	30.0	100.0	22.0
9.0	42.0	90.0	30.0	100.0	24.0
10.0	46.0	75.0	30.0	90.0	25.0
11.0	53.0	65.0	30.0	75.0	28.0
13.0	67.0	60.0	25.0	58.0	34.0
14.0	74.0	65.0	25.0	60.0	22.0
16.0	88.0	40.0	25.0	35.0	28.0
17.0	95.0	52.0	25.0	60.0	30.0
18.0	102.0	70.0	25.0	55.0	35.0
2.7	10.1	105.0	25.0	120.0	5.0
5.5	19.5	70.0	30.0	75.0	12.0
6.5	24.5	70.0	25.0	65.0	11.0
7.5	29.5	80.0	30.0	85.0	14.0
8.5	34.5	65.0	30.0	80.0	19.0
9.5	39.5	43.0	25.0	50.0	12.0
10.5	44.5	47.0	25.0	55.0	15.0
2.2	28.9	79.0	32.0	75.0	9.30
2.7	31.4	74.0	32.0	78.5	10.20
2.6	31.0	75.0	32.0	80.8	12.20
2.7	31.6	82.0	32.0	97.6	13.60
2.1	28.5	76.0	32.0	88.0	19.10
5.1	43.5	65.0	32.0	80.1	12.80
3.1	33.5	65.0	32.0	83.0	9.30
2.2	29.1	46.0	32.0	61.7	18.60
5.7	46.4	58.0	32.0	80.9	11.60
3.6	36.0	63.0	32.0	86.0	9.90
4.2	39.1	64.0	32.0	90.0	12.80
5.2	44.1	64.0	32.0	70.9	15.40
6.1	48.5	38.0	32.0	47.9	13.30
4.7	41.6	55.0	32.0	88.2	14.80
3.2	33.9	60.0	32.0	82.3	11.30
3.7	36.4	51.0	32.0	77.5	6.40
4.6	41.0	76.0	32.0	96.6	10.70
4.7	41.4	51.0	32.0	72.6	11.60
4.1	38.5	50.0	32.0	69.6	10.40
3.7	36.6	50.0	32.0	74.4	16.00
5.2	43.9	59.0	32.0	84.1	9.90
3.2	34.1	45.0	32.0	70.6	12.50
5.7	46.6	54.0	32.0	80.1	16.80
4.2	38.9	51.0	32.0	72.0	11.30
5.6	46.0	50.0	32.0	75.9	11.30
1.5	19.0	89.9	36.0	58.9	38.0
2.5	24.2	89.9	36.0	110.0	10.0
3.0	26.4	86.3	36.0	104.0	8.7
3.5	28.6	71.1	36.0	94.0	7.5
4.0	30.8	60.2	36.0	84.0	8.7
4.5	33.0	58.2	36.0	75.0	10.0
5.0	35.2	54.1	36.0	80.0	11.0
5.5	37.4	50.4	36.0	75.0	15.0
6.0	39.6	52.0	36.0	80.0	17.0
6.5	41.8	66.9	36.0	92.0	14.0
7.0	44.0	75.5	36.0	84.0	16.0
7.5	46.2	75.9	36.0	88.0	17.0
8.0	48.4	76.3	36.0	87.0	15.0
8.5	50.6	76.7	36.0	86.0	16.5
9.0	52.8	77.2	36.0	88.0	15.0
9.5	55.0	77.2	36.0	85.0	21.0
2.0	21.5	75.0	25.0	75.0	13.0
3.0	27.0	75.0	30.0	75.0	10.0
5.0	38.0	51.0	25.0	75.0	16.0
